seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
u3255255ctg_len-1012489_circular-yes_depth-4-4-3_mult-1.00|provirus_123915_146569	22655	Provirus	123915-146569	28	11	0.9932	0.0008	6	14.9230	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4362797ctg_len-24276_circular-yes_depth-6-6-5_mult-1.00	24306	DTR	NA	37	11	0.9932	0.0009	0	1.0329	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4528847ctg_len-1565438_circular-yes_depth-17-17-16_mult-1.00|provirus_1268393_1298532	30140	Provirus	1268393-1298532	28	11	0.9927	0.0009	5	12.7435	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Thumleimavirales;Druskaviridae
u1455388ctg_len-6936_circular-yes_depth-6-6-5_mult-1.00	6966	DTR	NA	6	11	0.9920	0.0009	0	0.0000	Unclassified
u1229609ctg_len-23304_circular-yes_depth-7-6-6_mult-1.00	23334	DTR	NA	42	11	0.9899	0.0010	0	2.5238	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2933855ctg_len-39195_circular-yes_depth-161-161-158_mult-1.00	39225	DTR	NA	47	11	0.9112	0.0013	7	48.7214	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4080862ctg_len-10752_circular-yes_depth-57-57-8_mult-1.00	10782	DTR	NA	17	11	0.9023	0.0017	0	1.8301	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4278032ctg_len-17795_circular-yes_depth-43-42-30_mult-1.00	17825	DTR	NA	19	11	0.8972	0.0021	0	0.0000	Unclassified
u3674976ctg_len-18214_circular-yes_depth-11-5-1_mult-1.00	18244	DTR	NA	22	11	0.8348	0.0027	0	0.0000	Unclassified
u4321186ctg_len-14516_circular-yes_depth-15-8-8_mult-1.00	14546	DTR	NA	21	11	0.7744	0.0035	0	0.0000	Unclassified
u3929811ctg_len-6867_circular-yes_depth-11-8-1_mult-1.00	6897	DTR	NA	7	11	0.7285	0.0045	0	0.0000	Unclassified
